player_id(PK),username,reg_date,password,isAdmin
0001,admin,2026-05-18 00:00:00,admin123,True
0002,pxk,2026-05-04 00:00:00,123456,False
0003,duanchenyu,2026-05-05 00:00:00,654321,False
0004,admin2,2026-01-01 00:00:00,admin123,True
0005,lixiaoming,2026-04-10 00:00:00,lxm1234,False
0006,wanghua,2026-03-15 00:00:00,wh78901,False
0007,zhangwei,2026-02-20 00:00:00,zw34567,False
0008,sunxiaochuan521,2026-02-21 00:00:00,nmsl114514,False
0009,laoda,2026-02-22 00:00:00,man999,False
0010,buchi,2026-02-23 00:00:00,ice123,False
0011,chashao,2026-02-24 00:00:00,yami987,False
0012,alice,2026-05-18 00:00:00,alice123,False
0013,bob,2026-05-18 00:00:00,bob123,False
0014,cathy,2026-05-18 00:00:00,cathy123,False
0015,david,2026-05-18 00:00:00,david123,False
0016,frank,2026-05-18 00:00:00,frank123,False
0017,grace,2026-05-18 00:00:00,grace123,False
0018,henry,2026-05-18 00:00:00,henry123,False
0019,iris,2026-05-18 00:00:00,iris123,False
0020,jack,2026-05-18 00:00:00,jack123,False
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
